Customer,State,WinningBid,NumberOfBusesInContract,OrionsEstimatedCost,Length,Diesel,HighFloor
Port of Seattle ,WA,300399,16,280206,40,0,0
Savannah,GA,259836,25,215747,35,1,0
Charlotte,NC,297898,15,270633,40,1,0
Charlotte,NC,273658,15,265333,30,1,0
Charlotte,NC,311582,15,280017,40,1,1
Rochester,MN,273231,4,277460,40,1,0
Green Bay,WI,239614,3,232105,30,1,0
Knoxville,TN,244786,10,233121,30,1,0
Les Autobus Richard Auger,PQ,226170,10,188688,40,1,1
Livermore,CA,289751,7,265333,35,1,1
Livermore,CA,303425,7,267047,40,1,1
Livermore,CA,322527,6,286391,40,1,1
Livermore,CA,279710,7,263036,30,1,0
Livermore,CA,302753,7,267248,35,1,0
Livermore,CA,310908,7,270407,40,1,0
Kingston,Ont,256676,3,244921,40,1,0
Hamilton,Ont,304815,2,286486,40,0,0
Hamilton,Ont,259190,2,239109,40,1,0
Groupe Viens,PQ,217882,5,184877,40,0,1
Sioux City,IA,277242,4,244137,35,1,0
Duluth,MN,264053,10,245524,35,1,0
Davenport,IO,248825,6,242316,35,1,0
Racine,WI,248866,8,238465,35,1,0
San Diego,CA,268546,39,278225,30,0,0
San Diego,CA,290731,39,288680,35,0,0
San Diego,CA,298405,39,293061,40,0,0
Billings,MT,278200,6,246033,35,1,1
Guelph,Ont,308286,8,282483,40,1,0
First Transit ST. Cloud,MN,253977,18,227443,35,1,0
Duluth,MN,241000,10,236250,30,1,0
Greenville,SC,242514,12,222092,35,1,0
Watertown,NY,245900,3,245846,30,1,1
Kansas City,MO,265985,32,245537,40,1,0
Nashua,NH,246224,2,230884,30,1,0
Barrie,Ont,263165,5,236804,40,1,0
Huntington,NY,275408,2,257629,30,1,1
STCUM-Montreal,PQ,277290,15,227951,40,1,0
Brampton,ON,271233,8,222811,40,1,0
Clarksville,TN,252966,5,236178,30,1,1
Regina,SK,251550,20,218735,40,1,0
Whitehorse,YU,266078,3,205367,35,1,1
